,Neurons,Astrocytes,Oligodendrocytes,Microglia,Endothelia
ENSG00000140526,9.570826737,18.49624309,14.02577992,8.297624604,14.10299817
ENSG00000158201,4.290638363,20.2074216,3.298739886,29.43152089,5.379063849
ENSG00000011198,12.46602119,9.226576663,14.20439033,7.503245522,25.70934866
ENSG00000163686,9.534691358,4.809066561,23.76057093,5.048934276,9.819384442
ENSG00000136754,34.008816,71.73363939,22.22194066,79.01670485,20.83394235
ENSG00000138443,16.18355933,17.50019423,11.29736196,8.927862519,12.31633532
ENSG00000154175,1.746338594,1.132823842,0.474066297,0.946641252,2.817069979
ENSG00000097007,5.479005131,9.732351513,12.5038925,10.74882171,13.80544253
ENSG00000143322,5.29605055,4.3263247,5.25121965,22.91038658,10.87119558
ENSG00000099204,22.67211784,71.86337868,4.827152695,5.116561629,63.75527762
ENSG00000163995,11.17970443,3.064494012,5.389312696,4.098556357,3.801514298
ENSG00000173210,3.330589999,3.499041842,1.986313631,1.63621511,16.12855731
ENSG00000159842,11.26215617,21.30370741,4.117197815,35.90336467,10.3858854
ENSG00000166016,0.867382767,4.500458944,12.72149921,1.264240946,3.406527193
ENSG00000060971,6.937395438,13.03954914,8.415826256,11.40933882,5.899748237
ENSG00000132142,13.67434396,15.59403305,12.97137299,9.262144379,6.310738286
ENSG00000076555,0.289877932,12.61466353,1.758838908,1.990991855,4.53926142
ENSG00000151498,6.182317979,6.138234604,5.508712343,3.374159371,3.660883037
ENSG00000177646,4.482361132,4.194695951,4.534234287,3.260731648,3.569581733
ENSG00000115361,1.516936095,1.425365357,0.436468452,0.563675963,0.89084471
ENSG00000117054,20.4635836,28.56639652,19.38438553,17.59902925,12.73011741
ENSG00000196177,9.074807842,16.03015925,11.16763813,7.710411281,16.03029307
ENSG00000072778,30.89595479,78.76016836,15.09642349,16.80925181,17.26114068
ENSG00000114331,14.5057349,27.00610904,13.18300124,25.73051447,14.43375073
ENSG00000075239,15.78532847,15.24881833,13.31543445,9.080505082,19.55489449
ENSG00000120437,10.91902004,13.36955332,9.407487906,14.01112953,3.614192615
ENSG00000182827,12.01043935,10.45061302,10.93850952,13.47343989,10.42749997
ENSG00000107897,10.30749945,15.32407559,18.17872991,9.786952864,9.440719978
ENSG00000177076,2.361112493,0.750528677,1.498672114,3.888118525,25.48403314
ENSG00000100813,6.626695141,11.18118433,9.031731802,11.29546482,10.92516896
ENSG00000122729,5.624391706,11.03416426,3.969923046,4.171590978,5.878678396
ENSG00000100412,11.81904529,26.60430233,10.26110158,11.7028454,6.561333065
ENSG00000162390,1.079776237,15.04236233,0.758875934,1.008574099,1.05896987
ENSG00000112304,4.576153916,10.98077571,5.263304008,6.645807412,6.219964516
ENSG00000119673,3.135297431,5.945796602,2.476367524,5.587872085,3.054136134
ENSG00000205669,4.100112151,12.1700721,1.354308189,0.954809093,0.630252666
ENSG00000097021,23.66810416,4.816841305,8.534236973,9.310446218,6.398152357
ENSG00000123130,2.733397023,7.42707905,2.052434565,12.62620938,3.484971747
ENSG00000161533,4.002168984,12.97268726,4.924857835,10.03811347,10.16466816
ENSG00000087008,2.702892806,6.300849016,3.420666438,3.897697613,2.58022956
ENSG00000143727,25.21077537,9.368642184,17.36553259,21.51395094,11.67279792
ENSG00000134575,4.847261357,3.840650174,2.414577331,3.477637321,15.42354519
ENSG00000103740,0.611262899,40.89753044,3.493495737,1.34050988,1.027834744
ENSG00000151726,3.825161348,3.199745882,25.1372217,41.91742837,3.096529557
ENSG00000123983,32.57725907,39.77073866,26.59838277,24.64065034,39.96248107
ENSG00000068366,15.84200195,8.844612489,16.05954347,26.61107428,9.197972588
ENSG00000197142,0.814669437,0.755833325,1.172527798,6.26849087,17.80517998
ENSG00000154930,0.506114609,49.53144022,3.781386067,6.002155714,3.110860588
ENSG00000131069,2.736421727,4.679221855,12.92846643,5.00002177,6.231482358
ENSG00000111058,0.921490956,24.72276647,1.502048689,0.892886961,5.903460578
ENSG00000107796,2.503206335,3.376289708,1.3890917,3.732829651,67.17361165
ENSG00000075624,242.2598559,197.0720535,374.4764023,586.2283249,400.460146
ENSG00000136518,1.383505944,3.864360425,10.19930942,8.923045928,3.916678406
ENSG00000072110,7.808280982,2.761861068,1.840860668,2.913874609,9.686172897
ENSG00000077522,6.911111,2.86682073,18.57597795,2.752522785,13.34025611
ENSG00000130402,7.515338444,5.736435319,13.4448294,9.380870694,41.42529488
ENSG00000131966,37.68326553,25.75328413,28.13202305,18.09979349,26.3254099
ENSG00000138107,10.90738968,11.38751101,14.33165296,11.62684682,11.92221531
ENSG00000115073,15.98287523,12.7097167,14.8273963,13.3717518,14.7411095
ENSG00000138071,50.33953042,24.44437865,34.29448967,80.28585418,39.92712471
ENSG00000115091,8.640139623,7.991922859,12.89832636,25.97170135,12.05751291
ENSG00000133627,12.76717786,6.300197741,6.210533261,6.474900217,8.486995541
ENSG00000101442,3.873908385,2.145220376,4.649364209,6.587291855,2.833441044
ENSG00000075089,15.37270907,8.286194536,12.47255215,6.622650172,16.93242694
ENSG00000113812,3.912588866,7.434510806,2.938135477,7.670053316,3.93973285
ENSG00000115170,4.412466498,6.625283213,5.795882508,6.000347078,57.44453083
ENSG00000135503,7.481893601,3.861150338,3.67347391,6.351241453,3.942430043
ENSG00000123612,2.047628005,1.454656648,5.290215079,1.71315027,0.909238196
